iter	MultiClass
0	1.302592998
1	1.238601865
2	1.188482605
3	1.147762646
4	1.114447807
5	1.086558301
6	1.063232603
7	1.042906785
8	1.02668357
9	1.012497746
10	1.000561515
11	0.9906893581
12	0.9818834083
13	0.9742443902
14	0.9679521461
15	0.9624473983
16	0.9573022215
17	0.9530680022
18	0.9497031307
19	0.9465185539
20	0.9440326504
21	0.941356499
22	0.9389120199
23	0.9368133974
24	0.9351923478
25	0.9335433423
26	0.9322853937
27	0.931111501
28	0.9303206858
29	0.9294382764
30	0.9283871917
31	0.927529891
32	0.9263298233
33	0.925121327
34	0.9244346796
35	0.9239764569
36	0.9230573618
37	0.9223281394
38	0.9218645988
39	0.921238126
40	0.9208380268
41	0.9205022589
42	0.9198379707
43	0.9193291995
44	0.9191541144
45	0.9187076382
46	0.9184737456
47	0.9181756028
48	0.9179369681
49	0.9174257937
50	0.9170264576
51	0.9165961019
52	0.9164556303
53	0.9163519999
54	0.9161475382
55	0.9157307227
56	0.9156633409
57	0.9154914586
58	0.9153277557
59	0.9149250736
60	0.914714571
61	0.9145461317
62	0.9142449283
63	0.9139896394
64	0.9138168402
65	0.9135348138
66	0.9133845872
67	0.9130174341
68	0.9128567187
69	0.9126941243
70	0.9125087537
71	0.9123593184
72	0.9122526919
73	0.9120686492
74	0.9118819874
75	0.9115939299
76	0.9114304855
77	0.9113510992
78	0.9111911696
79	0.9110847631
80	0.9109780225
81	0.9108827854
82	0.9107360947
83	0.9106090034
84	0.91051699
85	0.9103993227
86	0.9102327781
87	0.9100924672
88	0.9099967877
89	0.9098849781
90	0.9097764399
91	0.9095353944
92	0.9094636862
93	0.9093975879
94	0.9092137488
95	0.9090996701
96	0.9089850455
97	0.9088994597
98	0.9087548128
99	0.908668358
100	0.9086337387
101	0.9085213676
102	0.9083933095
103	0.9082172557
104	0.9080978886
105	0.907888027
106	0.9077491322
107	0.9075984521
108	0.9074992394
109	0.907415889
110	0.9073556635
111	0.9072729146
112	0.907188961
113	0.9070755886
114	0.906949639
115	0.9068520567
116	0.9067266247
117	0.9066508636
118	0.9065685765
119	0.9064754517
120	0.9063951167
121	0.9063251371
122	0.9062354391
123	0.9061459843
124	0.9060139657
125	0.9058896452
126	0.905771966
127	0.9056631414
128	0.905540699
129	0.9054901519
130	0.9053706239
131	0.9052376688
132	0.9051534084
133	0.9050476293
134	0.9049254165
135	0.9047425911
136	0.9046661361
137	0.9045451093
138	0.9044288989
139	0.904357749
140	0.9042805098
141	0.9041819405
142	0.9041136297
143	0.904029904
144	0.9039552218
145	0.9038474083
146	0.903786235
147	0.9036825166
148	0.9035724081
149	0.903481839
150	0.9034150759
151	0.903324548
152	0.9032545698
153	0.9031556519
154	0.9030587969
155	0.9029756802
156	0.9029042856
157	0.9028331854
158	0.9027120562
159	0.9026598388
160	0.9025939339
161	0.902464021
162	0.9023884242
163	0.9022712191
164	0.902173499
165	0.9020943216
166	0.9020019978
167	0.9019217247
168	0.9018533247
169	0.9017687375
170	0.9016925801
171	0.901629969
172	0.9015228679
173	0.9014685965
174	0.901382085
175	0.9013057014
176	0.9012169197
177	0.9011619426
178	0.9010867124
179	0.9010221359
180	0.9009692023
181	0.9008792315
182	0.9008275462
183	0.9007427519
184	0.900667463
185	0.9005944845
186	0.900525714
187	0.9004157616
188	0.9003607904
189	0.9002990233
190	0.9001911571
191	0.9000911088
192	0.9000274261
193	0.8999594489
194	0.8998783873
195	0.8997838357
196	0.8997012323
197	0.8996233586
198	0.8995537825
199	0.899464881
200	0.8993592902
201	0.8992766136
202	0.8992291459
203	0.8991497778
204	0.8990670775
205	0.8990195984
206	0.8989582481
207	0.8988407823
208	0.8987863719
209	0.8987203976
210	0.8986418605
211	0.8985985396
212	0.8985524985
213	0.898499214
214	0.8984294162
215	0.89834294
216	0.8982553921
217	0.8981685318
218	0.89809701
219	0.8980225568
220	0.8979432746
221	0.8978572962
222	0.8977668765
223	0.8976920384
224	0.8976322151
225	0.8975272885
226	0.8974806259
227	0.897380068
228	0.8972631521
229	0.8972262579
230	0.897161659
231	0.8970761419
232	0.8969942253
233	0.8969228763
234	0.8968567081
235	0.8968002005
