iter	Passed	Remaining
0	16	16428
1	35	17770
2	50	16936
3	64	16153
4	81	16151
5	96	16038
6	110	15667
7	125	15515
8	142	15646
9	156	15532
10	171	15438
11	186	15394
12	202	15357
13	214	15126
14	228	15021
15	243	14954
16	258	14952
17	273	14947
18	287	14853
19	302	14825
20	317	14789
21	331	14741
22	346	14699
23	359	14602
24	373	14560
25	383	14383
26	398	14346
27	414	14389
28	430	14409
29	446	14437
30	461	14420
31	475	14372
32	489	14350
33	505	14363
34	529	14596
35	577	15463
36	595	15507
37	611	15475
38	629	15506
39	647	15544
40	662	15488
41	677	15453
42	692	15412
43	708	15391
44	722	15332
45	736	15265
46	751	15242
47	768	15247
48	782	15192
49	798	15164
50	812	15124
51	825	15058
52	840	15023
53	857	15013
54	875	15046
55	889	14991
56	903	14946
57	916	14887
58	931	14861
59	946	14826
60	961	14801
61	975	14751
62	992	14761
63	1006	14724
64	1021	14698
65	1034	14638
66	1046	14568
67	1059	14519
68	1075	14509
69	1092	14512
70	1110	14531
71	1125	14512
72	1142	14513
73	1160	14524
74	1173	14474
75	1190	14474
76	1213	14548
77	1226	14502
78	1243	14493
79	1256	14455
80	1273	14454
81	1289	14432
82	1305	14427
83	1321	14408
84	1336	14386
85	1350	14350
86	1366	14344
87	1380	14308
88	1395	14285
89	1410	14258
90	1425	14234
91	1439	14203
92	1453	14180
93	1469	14164
94	1485	14152
95	1500	14134
96	1517	14130
97	1531	14095
98	1543	14044
99	1559	14035
100	1573	14007
101	1588	13984
102	1603	13964
103	1619	13948
104	1632	13917
105	1647	13893
106	1662	13877
107	1679	13867
108	1691	13824
109	1705	13796
110	1724	13810
111	1745	13837
112	1764	13849
113	1780	13839
114	1796	13823
115	1810	13800
116	1827	13793
117	1841	13762
118	1859	13765
119	1875	13751
120	1890	13736
121	1906	13720
122	1922	13705
123	1942	13722
124	1959	13719
125	1980	13737
126	1998	13738
127	2017	13742
128	2030	13712
129	2045	13689
130	2065	13698
131	2080	13683
132	2098	13678
133	2120	13703
134	2140	13714
135	2153	13680
136	2176	13713
137	2194	13708
138	2209	13686
139	2223	13656
140	2235	13620
141	2249	13590
142	2261	13554
143	2277	13539
144	2290	13508
145	2303	13474
146	2319	13458
147	2334	13441
148	2347	13405
149	2361	13382
150	2376	13363
151	2392	13349
152	2408	13331
153	2423	13313
154	2436	13281
155	2451	13261
156	2467	13250
157	2483	13236
158	2496	13205
159	2510	13180
160	2522	13146
161	2538	13130
162	2552	13105
163	2568	13093
164	2581	13062
165	2594	13036
166	2610	13019
167	2624	12996
168	2638	12975
169	2655	12962
170	2670	12946
171	2686	12933
172	2701	12914
173	2716	12895
174	2731	12878
175	2753	12891
176	2773	12894
177	2788	12876
178	2807	12876
179	2825	12869
180	2841	12856
181	2854	12830
182	2870	12816
183	2882	12784
184	2899	12774
185	2911	12740
186	2925	12719
187	2940	12701
188	2954	12677
189	2968	12657
190	2983	12637
